Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
36.0,187.0,2009.0,15.0,190000.0,1.0,2.0,0.0,375000.0
37.0,347.0,2010.0,14.0,77246.0,1.0,0.0,0.0,184999.0
23.0,317.0,2017.0,7.0,83500.0,1.0,2.0,0.0,565000.0
23.0,52.0,2019.0,5.0,45000.0,0.0,0.0,2.0,685000.0
4.0,366.0,2014.0,10.0,83000.0,0.0,0.0,0.0,1350000.0
36.0,187.0,2014.0,10.0,168000.0,1.0,2.0,0.0,1025000.0
4.0,11.0,2019.0,5.0,25000.0,0.0,2.0,0.0,5950000.0
23.0,398.0,2020.0,4.0,33759.0,1.0,2.0,2.0,622000.0
11.0,115.0,2017.0,7.0,69713.0,1.0,2.0,2.0,649000.0
23.0,41.0,2018.0,6.0,70000.0,0.0,0.0,2.0,395000.0
18.0,75.0,2021.0,3.0,25000.0,0.0,0.0,0.0,2900000.0
23.0,319.0,2012.0,12.0,72700.0,1.0,2.0,2.0,240000.0
36.0,96.0,2007.0,17.0,121931.0,0.0,2.0,2.0,201350.0
13.0,384.0,2018.0,6.0,130000.0,1.0,2.0,0.0,330000.0
18.0,302.0,2020.0,4.0,68000.0,1.0,0.0,0.0,1045000.0
23.0,123.0,2016.0,8.0,65000.0,1.0,2.0,0.0,785000.0
23.0,123.0,2017.0,7.0,59000.0,0.0,2.0,2.0,555000.0
4.0,8.0,2015.0,9.0,61000.0,0.0,2.0,0.0,1500000.0
11.0,120.0,2019.0,5.0,77000.0,0.0,2.0,0.0,2399000.0
36.0,188.0,2017.0,7.0,107000.0,0.0,0.0,0.0,1325000.0
12.0,84.0,2010.0,14.0,99000.0,1.0,0.0,2.0,295000.0
3.0,22.0,2015.0,9.0,42000.0,0.0,2.0,0.0,1050000.0
31.0,197.0,2019.0,5.0,48073.0,0.0,2.0,2.0,355000.0
21.0,174.0,2019.0,5.0,32618.0,0.0,0.0,2.0,1250000.0
23.0,319.0,2012.0,12.0,70000.0,1.0,2.0,0.0,315000.0
23.0,80.0,2014.0,10.0,51000.0,0.0,2.0,2.0,345000.0
23.0,356.0,2018.0,6.0,137000.0,1.0,0.0,0.0,845000.0
36.0,4.0,2023.0,1.0,1996.0,0.0,0.0,0.0,4195000.0
36.0,188.0,2017.0,7.0,90000.0,1.0,2.0,0.0,1950000.0
36.0,187.0,2011.0,13.0,84000.0,1.0,2.0,0.0,490000.0
38.0,286.0,2018.0,6.0,53000.0,0.0,0.0,0.0,2950000.0
13.0,349.0,2021.0,3.0,17000.0,1.0,0.0,2.0,685000.0
23.0,123.0,2018.0,6.0,70000.0,1.0,2.0,2.0,749000.0
13.0,100.0,2023.0,1.0,5000.0,0.0,0.0,2.0,1600000.0
13.0,36.0,2022.0,2.0,47110.0,1.0,2.0,0.0,1695000.0
13.0,394.0,2019.0,5.0,35000.0,1.0,0.0,2.0,585000.0
25.0,112.0,2019.0,5.0,101570.0,0.0,0.0,0.0,4200000.0
37.0,253.0,2021.0,3.0,42000.0,1.0,2.0,2.0,675000.0
23.0,52.0,2018.0,6.0,30000.0,1.0,2.0,2.0,630000.0
13.0,352.0,2016.0,8.0,82100.0,1.0,2.0,0.0,465000.0
3.0,24.0,2012.0,12.0,90000.0,0.0,2.0,0.0,899000.0
36.0,140.0,2011.0,13.0,193000.0,1.0,2.0,0.0,1125000.0
25.0,65.0,2015.0,9.0,65000.0,0.0,0.0,0.0,1750000.0
13.0,100.0,2022.0,2.0,30000.0,0.0,2.0,2.0,1690000.0
23.0,319.0,2020.0,4.0,94856.0,1.0,0.0,2.0,690000.0
33.0,201.0,2023.0,1.0,12000.0,0.0,0.0,2.0,1800000.0
23.0,83.0,2018.0,6.0,0.0,1.0,0.0,2.0,500000.0
36.0,188.0,2018.0,6.0,118000.0,0.0,0.0,0.0,1795000.0
25.0,65.0,2016.0,8.0,41000.0,0.0,2.0,2.0,2000000.0
12.0,84.0,2010.0,14.0,79000.0,1.0,2.0,2.0,290000.0
12.0,51.0,2016.0,8.0,103001.0,1.0,2.0,0.0,555555.0
13.0,100.0,2017.0,7.0,70000.0,1.0,2.0,2.0,765000.0
31.0,109.0,2018.0,6.0,130000.0,1.0,0.0,0.0,690000.0
23.0,361.0,2011.0,13.0,78000.0,1.0,2.0,2.0,225000.0
36.0,140.0,2017.0,7.0,115000.0,0.0,2.0,0.0,2390000.0
22.0,59.0,2017.0,7.0,160000.0,1.0,2.0,0.0,550000.0
13.0,122.0,2017.0,7.0,27000.0,1.0,2.0,2.0,300000.0
21.0,175.0,2020.0,4.0,81600.0,0.0,0.0,2.0,1021000.0
13.0,100.0,2017.0,7.0,54000.0,0.0,0.0,2.0,811000.0
22.0,382.0,2018.0,6.0,76000.0,1.0,0.0,0.0,1125000.0
25.0,157.0,2014.0,10.0,86000.0,0.0,0.0,0.0,3000000.0
13.0,393.0,2011.0,13.0,65000.0,1.0,2.0,2.0,115000.0
25.0,150.0,2018.0,6.0,60000.0,0.0,2.0,0.0,1450000.0
18.0,74.0,2023.0,1.0,24000.0,1.0,0.0,2.0,1225000.0
36.0,187.0,2011.0,13.0,100231.0,1.0,2.0,0.0,429101.0
23.0,178.0,2023.0,1.0,13000.0,1.0,2.0,2.0,610000.0
13.0,168.0,2017.0,7.0,47000.0,1.0,0.0,2.0,519999.0
13.0,162.0,2007.0,17.0,115031.0,1.0,2.0,2.0,140000.0
23.0,317.0,2014.0,10.0,67000.0,1.0,0.0,2.0,280000.0
13.0,384.0,2016.0,8.0,74500.0,1.0,0.0,0.0,425000.0
12.0,84.0,2016.0,8.0,93000.0,0.0,2.0,2.0,575000.0
23.0,277.0,2015.0,9.0,59000.0,1.0,0.0,2.0,295000.0
36.0,188.0,2017.0,7.0,79000.0,0.0,2.0,0.0,1725000.0
13.0,352.0,2022.0,2.0,69000.0,0.0,0.0,0.0,1250000.0
13.0,100.0,2015.0,9.0,76000.0,0.0,2.0,0.0,650000.0
18.0,306.0,2020.0,4.0,34500.0,0.0,0.0,2.0,935000.0
11.0,115.0,2016.0,8.0,130000.0,1.0,2.0,0.0,400000.0
22.0,301.0,2023.0,1.0,15905.0,0.0,0.0,0.0,2350000.0
36.0,188.0,2021.0,3.0,21000.0,1.0,0.0,0.0,2125000.0
26.0,90.0,2019.0,5.0,13000.0,0.0,0.0,2.0,3950000.0
23.0,123.0,2015.0,9.0,75000.0,1.0,0.0,0.0,435000.0
37.0,253.0,2012.0,12.0,80000.0,1.0,2.0,0.0,300000.0
23.0,361.0,2016.0,8.0,50000.0,1.0,0.0,2.0,245000.0
35.0,238.0,2022.0,2.0,40000.0,0.0,2.0,2.0,680000.0
23.0,277.0,2013.0,11.0,87000.0,1.0,0.0,0.0,385000.0
36.0,127.0,2015.0,9.0,155000.0,1.0,2.0,0.0,589000.0
37.0,102.0,2014.0,10.0,80000.0,1.0,2.0,0.0,425000.0
23.0,361.0,2014.0,10.0,84000.0,1.0,2.0,2.0,265000.0
37.0,253.0,2021.0,3.0,18000.0,0.0,0.0,2.0,850000.0
23.0,52.0,2017.0,7.0,47000.0,0.0,0.0,2.0,575000.0
37.0,346.0,2011.0,13.0,134000.0,1.0,0.0,0.0,425000.0
23.0,41.0,2011.0,13.0,82000.0,1.0,0.0,2.0,180000.0
23.0,80.0,2015.0,9.0,35000.0,0.0,0.0,2.0,425000.0
31.0,109.0,2015.0,9.0,150000.0,0.0,2.0,0.0,450000.0
36.0,140.0,2012.0,12.0,132000.0,1.0,0.0,0.0,1095000.0
19.0,268.0,2017.0,7.0,130000.0,0.0,2.0,2.0,2500000.0
23.0,123.0,2020.0,4.0,59000.0,0.0,0.0,2.0,980000.0
35.0,238.0,2018.0,6.0,95000.0,0.0,2.0,2.0,575000.0
35.0,185.0,2016.0,8.0,115000.0,1.0,2.0,0.0,110000.0
22.0,329.0,2022.0,2.0,11000.0,1.0,0.0,0.0,1675000.0
36.0,71.0,2015.0,9.0,68000.0,0.0,2.0,2.0,1185000.0
33.0,201.0,2021.0,3.0,74000.0,0.0,0.0,2.0,1199000.0
23.0,277.0,2012.0,12.0,88000.0,1.0,0.0,2.0,385000.0
13.0,168.0,2014.0,10.0,47000.0,0.0,2.0,2.0,455000.0
22.0,56.0,2015.0,9.0,16.0,1.0,0.0,0.0,390000.0
12.0,63.0,2012.0,12.0,68000.0,1.0,0.0,2.0,235000.0
12.0,86.0,2007.0,17.0,115000.0,1.0,2.0,2.0,265000.0
13.0,393.0,2011.0,13.0,50000.0,1.0,2.0,2.0,150000.0
12.0,358.0,2017.0,7.0,98000.0,1.0,0.0,0.0,600000.0
19.0,108.0,2019.0,5.0,62000.0,0.0,0.0,0.0,3099000.0
35.0,173.0,2019.0,5.0,67000.0,1.0,2.0,0.0,899000.0
35.0,392.0,2015.0,9.0,69000.0,1.0,2.0,2.0,340000.0
23.0,116.0,2021.0,3.0,49000.0,1.0,0.0,2.0,540000.0
23.0,319.0,2013.0,11.0,162000.0,1.0,2.0,0.0,390000.0
36.0,140.0,2018.0,6.0,86000.0,1.0,0.0,0.0,2499000.0
13.0,100.0,2023.0,1.0,35000.0,0.0,0.0,0.0,2025000.0
23.0,361.0,2014.0,10.0,38000.0,1.0,0.0,2.0,370000.0
13.0,100.0,2020.0,4.0,105000.0,1.0,0.0,0.0,1050000.0
36.0,4.0,2022.0,2.0,25500.0,0.0,0.0,0.0,4199999.0
